teamId,statistical_rank
100205573495116443,1
98767991853197861,2
98767991866488695,3
98767991926151025,4
98767991877340524,5
100725845018863243,6
99566404585387054,7
103461966971048042,8
100285330168091787,9
98926509892121852,10
98767991921462763,11
99566406064558732,12
99566405130451785,13
98767991860392497,14
99566406332987990,15
99566405129589291,16
103461966965149786,17
99566404581868574,18
100725845022060229,19
99294153828264740,20
103535282158162659,21
99566406334639907,22
103935530333072898,23
99566408221114231,24
99566404579461230,25
103535282148790975,26
99566406065437842,27
99566406338282437,28
102747101562758215,29
99566408217955692,30
98767991949608898,31
103461966951059521,32
102235771678061291,33
103461966981927044,34
98767991940181526,35
103935468920814040,36
101383793574360315,37
101383793569248484,38
100205573496804586,39
99294153824386385,40
99566405128626825,41
99566404852189289,42
99566405126602853,43
99566408222831088,44
103535282146169523,45
101428372602011186,46
99566408219409348,47
103495716836203404,48
99566405124618295,49
99566405127798575,50
101428372603715124,51
101428372598668846,52
99566404853058754,53
103535282124208038,54
104367068120825486,55
103461966975897718,56
101383793567806688,57
99566408562477641,58
98767991930907107,59
99566408561605102,60
103535282135552642,61
101383793572656373,62
100205576309502431,63
101422616509070746,64
103535282143744679,65
101428372605353526,66
99566406490127625,67
101428372600307248,68
103495716886587312,69
105351835580819729,70
99566405123587075,71
102787200120306562,72
102787200129022886,73
103935523328473675,74
99566408217116828,75
100205576307813373,76
102787200126663579,77
103877675241047720,78
98926509883054987,79
103877589042434434,80
103535282119620510,81
104251016988118464,82
99322214689444546,83
99566406066182955,84
101428372607057464,85
99871276356460471,86
103877774634323825,87
98767991935149427,88
101383792887446028,89
99566406332122275,90
103535282140533402,91
98926509884398584,92
103535282113853330,93
103535282138043022,94
103877625775457850,95
99566404855553726,96
102787200134790084,97
99566404846951820,98
103535282151674574,99
99566406069969565,100
103935446548920777,101
103935642731826448,102
105515219038427019,103
99566404854685458,104
102787200149928963,105
102787200136756173,106
98767991846127102,107
102787200151698443,108
105536918475957734,109
103743162394217975,110
105550033967461806,111
105553606349477427,112
105550042327365041,113
103877554248683116,114
105594135137147298,115
99566408221961358,116
105521408363571548,117
105550054006182911,118
99322214684939974,119
105504044166670507,120
105521706535388095,121
102787200155434012,122
99322214695067838,123
99566408356697119,124
105532791598779236,125
99566408358330419,126
105550049871017396,127
105550059790656435,128
105505619546859895,129
105536643047197642,130
101383792559569368,131
104841890701948065,132
101383792891050518,133
105550026570060790,134
105521637552587612,135
105550047979361273,136
106269804045322803,137
105514907449611976,138
105559480124455983,139
105537149834356301,140
105397404796640412,141
104710316579222193,142
104710678170825211,143
102787200132955066,144
98767991892579754,145
105550051809743868,146
103935421249833954,147
101383793195758800,148
103963753080578719,149
105709099258505657,150
105514967858969605,151
102787200124959636,152
105550024238752685,153
106382545123328648,154
104710359142494900,155
103878020539746273,156
102825747701670848,157
105520786527322647,158
105515345386578249,159
105521412995449549,160
105520788833075738,161
104710682193583854,162
105543843212923183,163
105520819263036609,164
105593161016793151,165
104710354840711661,166
105537226118106446,167
105520822049210915,168
105550036134585264,169
105593951536470384,170
104228817622043824,171
105521674055625312,172
103877891572305836,173
107700199633958891,174
105193481874236222,175
105519746234964687,176
104270958001747936,177
105537947396116202,178
102787200145472495,179
105536773074826367,180
106371141659311452,181
103935567188806885,182
105549988405523871,183
107575082591536093,184
105536952747658409,185
98767991954244555,186
105520824521753126,187
105537444152141556,188
105594116005157262,189
107700204561086446,190
105549998884468136,191
105550001032913831,192
107581759470356115,193
99566406493155041,194
106806773698472633,195
107582157086477662,196
105549997263803379,197
107467803833323099,198
105520077508552574,199
107251245690956393,200
105536738266035235,201
107581284487120142,202
105593129376630217,203
107581287168722290,204
106301891501674861,205
107467834753797729,206
107423075317119707,207
105549991104165282,208
105550005698683818,209
105521293297166647,210
104202382255290736,211
104710369093939895,212
98767991882270868,213
105913238372341488,214
107251374793416561,215
105519977854458717,216
105520796734358045,217
105193554293818475,218
107603600826620492,219
105553684493690219,220
99566406070802758,221
107760667929003738,222
107598788926820994,223
107598699275015260,224
107581206998502078,225
105503948999800557,226
105503848339138647,227
107416483509696259,228
98767991959203254,229
108361552741927561,230
105593182576105603,231
107467794614674479,232
107422385694193066,233
107582618156093368,234
107582178455767077,235
105549995617170853,236
98767991897792379,237
107599156601411192,238
106857734387052095,239
107599040773840060,240
105593213115128994,241
