teamId,TeamScore,Rank
103935567188806885,91780.49458385521,1
99566405944694628,88945.16277557453,2
105549984475833252,86607.24882984396,3
109783160511364305,84427.97535484965,4
107582613263241138,79349.14734319047,5
103877774634323825,79198.55554339598,6
103877879209300619,79131.8165638478,7
105301755072677196,78988.70686188531,8
104212474149188693,78335.54804980778,9
105593311172904657,77869.54999897753,10
105515266817621145,77433.63031471019,11
107456355516438414,75672.27116383295,12
108131965235538611,74690.13889659592,13
105520713962793016,74636.3531107891,14
107456284318482723,74429.04867648083,15
102787200130988976,74169.2860149269,16
107580444745581889,74015.90578669019,17
105536980594429116,73850.16817518987,18
108566004579728490,73662.28640125561,19
99566406070802758,73029.57976751319,20
99871276356460471,72648.74436556405,21
98926509884398584,72537.41785097905,22
106857755268998406,72506.33728043412,23
102747101562758215,72384.4611736669,24
108361550364038935,72326.77359803226,25
109631541326560210,72309.07652030938,26
105547976546505145,72288.09109669446,27
103877756742242918,72142.04854569316,28
109783170393931575,72109.05954864474,29
106827815539026710,72067.89412397296,30
109692071893352727,71671.54076945786,31
106827848618374543,71444.0651909432,32
107603551467692884,71402.85949514352,33
107603548241713732,71301.03214174986,34
105193385417106233,71196.96016148626,35
107599144012469862,71193.80353987466,36
107581178720470377,71102.180256715,37
99124844355850858,70984.19529485174,38
107599089191671351,70899.4492887618,39
109672618694070633,70888.61107845015,40
107468079354897663,70872.16379435177,41
107655539755387391,70533.11422525968,42
101383792891050518,70525.54295919818,43
108361563004344389,70447.71974610357,44
107581296208168309,70392.50225900006,45
106371176555003349,70316.73884370994,46
105519945593890595,70120.39031390313,47
101428372607057464,70104.0898049436,48
104710343016706538,70047.91078955287,49
107582598621022934,69978.21578971652,50
105519562229907355,69957.14637052333,51
107456352597333899,69947.58868950162,52
106972778172351142,69944.02737281162,53
105537444152141556,69919.27329347224,54
99566404581868574,69839.876158691,55
104234362586443283,69810.95569583318,56
105505619546859895,69729.98634279141,57
107564135791716115,69598.10750962372,58
107423086908356081,69541.76937671058,59
107110686951738484,69541.5331839513,60
98767991930907107,69530.04562096311,61
98767991897792379,69447.1057775204,62
107599174108436104,69406.49540008383,63
109480204628225868,69327.95906305019,64
105548019132871601,69292.3246694966,65
109485351596724390,69226.54918267796,66
105521402545275594,69155.90195856498,67
105301786369976273,69136.56705605419,68
109696138543579708,69135.13395936476,69
109692074894483834,69059.883052038,70
109783130654973406,68998.06492658734,71
106806779752531762,68982.48937354203,72
108319257932089006,68928.90391108686,73
103535282151674574,68864.0301621069,74
107582638341246907,68823.80285847154,75
98926509892121852,68753.13101259398,76
105913111502565010,68734.44179139326,77
101383792559569368,68696.90864806829,78
107598712583969458,68693.98477481585,79
109539675734129088,68616.58208662437,80
105519846782566525,68437.79577585697,81
107581733744920199,68343.04808798803,82
104843437139220481,68319.56981074973,83
107599112065439311,68308.76681464768,84
107456419134134246,68255.95724608506,85
107598785733448849,68254.81794729168,86
99124844354766222,68254.2794128187,87
98767991860392497,68229.56730320033,88
107582615829368757,68227.9170992993,89
105550051809743868,68199.30200531693,90
107467827374313054,68131.15784271793,91
101383793572656373,68083.19739778564,92
105594101461473671,68080.76906384672,93
101383793567806688,68033.43250562868,94
105397399468432537,67968.52659851353,95
107598704067400262,67900.4011812379,96
108517492697602721,67870.7927370778,97
100205576309502431,67847.27484630322,98
106806773698472633,67833.08560196184,99
104367072827489994,67823.45001974958,100
109783023470714128,67650.91383843966,101
105532791598779236,67638.0968623769,102
105550001032913831,67626.53274436253,103
108448995754333242,67612.26042791418,104
103935421249833954,67577.62223047616,105
99322214689444546,67565.17170087348,106
98767991935149427,67560.57749812007,107
104710354840711661,67547.7851924548,108
109671201259007744,67450.73432256492,109
98926509883054987,67396.21942249472,110
101383793569248484,67394.91376199013,111
108404211655217274,67391.82931018302,112
99566404585387054,67287.84971689359,113
105549997263803379,67286.98097061661,114
109637393694097670,67259.81731023357,115
99566408219409348,67224.63476856034,116
107563714667537640,67209.57935483422,117
102747101565183056,67199.4266995872,118
105550024238752685,67184.58210327661,119
107067065368380132,67179.50355471259,120
105594163014588871,67134.12195756064,121
102787200145472495,67099.24347453883,122
